1. Mose 1:1|Am Anfang schuf Gott Himmel und Erde.
1. Mose 1:3|Und Gott sprach: Es werde Licht! Und es ward Licht.
1. Mose 1:27|Und Gott schuf den Menschen zu seinem Bilde, zum Bilde Gottes schuf er ihn; und schuf sie als Mann und Weib.
1. Mose 1:31|Und Gott sah an alles, was er gemacht hatte, und siehe, es war sehr gut.
1. Mose 2:7|Da machte Gott der HERR den Menschen aus Erde vom Acker und blies ihm den Odem des Lebens in seine Nase. Und so ward der Mensch ein lebendiges Wesen.
1. Mose 2:18|Und Gott der HERR sprach: Es ist nicht gut, daß der Mensch allein sei; ich will ihm eine Gehilfin machen, die um ihn sei.
1. Mose 3:15|Und ich will Feindschaft setzen zwischen dir und dem Weibe und zwischen deinem Nachkommen und ihrem Nachkommen; der soll dir den Kopf zertreten, und du wirst ihn in die Ferse stechen.
1. Mose 6:8|Aber Noah fand Gnade vor dem HERRN.
1. Mose 9:13|Meinen Bogen habe ich gesetzt in die Wolken; der soll das Zeichen sein des Bundes zwischen mir und der Erde.
1. Mose 12:1|Und der HERR sprach zu Abram: Geh aus deinem Vaterland und von deiner Verwandtschaft und aus deines Vaters Hause in ein Land, das ich dir zeigen will.
1. Mose 15:1|Nach diesen Geschichten begab sich's, daß zu Abram das Wort des HERRN kam in einer Offenbarung: Fürchte dich nicht, Abram! Ich bin dein Schild und dein sehr großer Lohn.
1. Mose 22:14|Und Abraham nannte die Stätte: Der HERR sieht. Daher man noch heute sagt: Auf dem Berge, da der HERR sieht.
1. Mose 28:15|Und siehe, ich bin mit dir und will dich behüten, wo du hinziehst, und will dich wieder herbringen in dies Land.
1. Mose 50:20|Ihr gedachtet es böse mit mir zu machen, aber Gott gedachte es gut zu machen.
2. Mose 3:5|Er sprach: Tritt nicht herzu, zieh deine Schuhe von deinen Füßen; denn der Ort, darauf du stehst, ist heiliges Land!
2. Mose 3:14|Gott sprach zu Mose: Ich werde sein, der ich sein werde. Und sprach: So sollst du zu den Israeliten sagen: Ich werde sein, der hat mich zu euch gesandt.
2. Mose 14:14|Der HERR wird für euch streiten, und ihr werdet stille sein.
2. Mose 15:26|Ich bin der HERR, dein Arzt.
2. Mose 20:2|Ich bin der HERR, dein Gott, der ich dich aus Ägyptenland, aus der Knechtschaft, geführt habe.
2. Mose 20:3|Du sollst keine anderen Götter haben neben mir.
2. Mose 20:7|Du sollst den Namen des HERRN, deines Gottes, nicht mißbrauchen; denn der HERR wird den nicht ungestraft lassen, der seinen Namen mißbraucht.
2. Mose 20:8|Gedenke des Sabbattages, daß du ihn heiligest.
2. Mose 20:12|Du sollst deinen Vater und deine Mutter ehren, auf daß du lange lebest in dem Lande, das dir der HERR, dein Gott, geben wird.
2. Mose 20:13|Du sollst nicht töten.
2. Mose 20:14|Du sollst nicht ehebrechen.
2. Mose 20:15|Du sollst nicht stehlen.
2. Mose 20:16|Du sollst nicht falsch Zeugnis reden wider deinen Nächsten.
2. Mose 33:14|Mein Angesicht soll vorangehen; ich will dich zur Ruhe leiten.
3. Mose 19:2|Ihr sollt heilig sein, denn ich bin heilig, der HERR, euer Gott.
3. Mose 19:18|Du sollst deinen Nächsten lieben wie dich selbst; ich bin der HERR.
4. Mose 6:24|Der HERR segne dich und behüte dich.
4. Mose 6:25|Der HERR lasse sein Angesicht leuchten über dir und sei dir gnädig.
4. Mose 6:26|Der HERR hebe sein Angesicht über dich und gebe dir Frieden.
4. Mose 23:19|Gott ist nicht ein Mensch, daß er lüge, noch ein Menschenkind, daß ihn etwas gereue.
5. Mose 4:29|Wenn du aber daselbst den HERRN, deinen Gott, suchen wirst, so wirst du ihn finden, wenn du ihn von ganzem Herzen und von ganzer Seele suchen wirst.
5. Mose 6:4|Höre, Israel, der HERR ist unser Gott, der HERR allein.
5. Mose 6:5|Und du sollst den HERRN, deinen Gott, liebhaben von ganzem Herzen, von ganzer Seele und mit all deiner Kraft.
5. Mose 7:9|So sollst du nun wissen, daß der HERR, dein Gott, allein Gott ist, der treue Gott, der den Bund und die Barmherzigkeit bis ins tausendste Glied hält denen, die ihn lieben und seine Gebote halten.
5. Mose 8:3|Er demütigte dich und ließ dich hungern und speiste dich mit Manna, damit er dir kundtäte, daß der Mensch nicht lebt vom Brot allein, sondern von allem, was aus dem Mund des HERRN geht.
5. Mose 31:6|Seid getrost und unverzagt, fürchtet euch nicht und laßt euch nicht vor ihnen grauen; denn der HERR, dein Gott, wird selber mit dir ziehen und wird die Hand nicht von dir tun und dich nicht verlassen.
5. Mose 31:8|Der HERR aber, der selber vor euch hergeht, der wird mit dir sein und wird die Hand nicht von dir tun und dich nicht verlassen. Fürchte dich nicht und erschrick nicht!
5. Mose 33:27|Zuflucht ist bei dem alten Gott und unter den ewigen Armen.
Josua 1:5|Es soll dir niemand widerstehen dein Leben lang. Wie ich mit Mose gewesen bin, will ich auch mit dir sein. Ich will dich nicht verlassen noch von dir weichen.
Josua 1:8|Und laß das Buch dieses Gesetzes nicht von deinem Munde kommen, sondern betrachte es Tag und Nacht, damit du hältst und tust in allen Dingen nach dem, was darin geschrieben steht.
Josua 1:9|Siehe, ich habe dir geboten, daß du getrost und unverzagt seist. Laß dir nicht grauen und entsetze dich nicht; denn der HERR, dein Gott, ist mit dir in allem, was du tun wirst.
Josua 24:15|Ich aber und mein Haus wollen dem HERRN dienen.
Richter 6:12|Und der Engel des HERRN erschien ihm und sprach zu ihm: Der HERR mit dir, du streitbarer Held!
Ruth 1:16|Ruth antwortete: Rede mir nicht ein, daß ich dich verlassen sollte und von dir umkehren. Wo du hingehst, da will ich auch hingehen; wo du bleibst, da bleibe ich auch. Dein Volk ist mein Volk, und dein Gott ist mein Gott.
1. Samuel 2:2|Es ist niemand heilig wie der HERR, außer dir ist keiner, und ist kein Fels, wie unser Gott ist.
1. Samuel 3:10|Da kam der HERR und trat herzu und rief wie vormals: Samuel, Samuel! Und Samuel sprach: Rede, denn dein Knecht hört.
1. Samuel 12:24|Fürchtet nur den HERRN und dient ihm treulich von ganzem Herzen; denn seht doch, wie große Dinge er an euch getan hat.
1. Samuel 16:7|Der HERR sieht nicht auf das, worauf ein Mensch sieht. Ein Mensch sieht, was vor Augen ist; der HERR aber sieht das Herz an.
2. Samuel 7:28|Nun, Herr HERR, du bist Gott, und deine Worte sind Wahrheit.
2. Samuel 22:2|Und er sprach: Der HERR ist mein Fels und meine Burg und mein Erretter.
2. Samuel 22:31|Gottes Weg ist vollkommen, das Wort des HERRN ist durchläutert. Er ist ein Schild allen, die ihm vertrauen.
1. Könige 8:23|HERR, Gott Israels, es ist kein Gott weder droben im Himmel noch unten auf Erden dir gleich.
1. Könige 18:21|Wie lange hinkt ihr auf beiden Seiten? Ist der HERR Gott, so wandelt ihm nach, ist's aber Baal, so wandelt ihm nach.
2. Könige 6:16|Er sprach: Fürchte dich nicht, denn derer ist mehr, die bei uns sind, als derer, die bei ihnen sind!
1. Chronik 16:11|Fragt nach dem HERRN und nach seiner Macht, sucht sein Angesicht allezeit!
1. Chronik 29:11|Dein, HERR, ist die Majestät und Gewalt, Herrlichkeit, Sieg und Hoheit. Denn alles, was im Himmel und auf Erden ist, das ist dein. Dein, HERR, ist das Reich, und du bist erhöht zum Obersten über alles.
2. Chronik 7:14|Wenn mein Volk, über das mein Name genannt ist, sich demütigt, daß sie beten und mein Angesicht suchen und sich von ihren bösen Wegen bekehren, so will ich vom Himmel her hören und ihre Sünde vergeben und ihr Land heilen.
2. Chronik 16:9|Denn des HERRN Augen schauen alle Lande, daß er stärke die, deren Herz ungeteilt auf ihn gerichtet ist.
2. Chronik 20:15|Fürchtet euch nicht und verzagt nicht vor diesem großen Haufen; denn ihr streitet nicht, sondern Gott.
Esra 3:11|Und sie sangen wechselweise Lob und Dank dem HERRN: Er ist gütig, und seine Barmherzigkeit währet ewiglich über Israel.
Nehemia 8:10|Und seid nicht bekümmert; denn die Freude am HERRN ist eure Stärke.
Ester 4:14|Und wer weiß, ob du nicht gerade um dieser Zeit willen zur königlichen Würde gekommen bist?
Hiob 1:21|Der HERR hat's gegeben, der HERR hat's genommen; der Name des HERRN sei gelobt!
Hiob 13:15|Siehe, er wird mich doch umbringen, und ich habe nichts zu hoffen; doch will ich meine Wege vor ihm rechtfertigen.
Hiob 19:25|Aber ich weiß, daß mein Erlöser lebt, und als der Letzte wird er über dem Staub sich erheben.
Hiob 23:10|Er aber kennt meinen Weg wohl. Er versuche mich, so will ich erfunden werden wie das lautere Gold.
Hiob 42:2|Ich erkenne, daß du alles vermagst, und nichts, das du dir vorgenommen, ist dir zu schwer.
Psalm 1:1|Wohl dem, der nicht wandelt im Rat der Gottlosen, noch tritt auf den Weg der Sünder, noch sitzt, da die Spötter sitzen.
Psalm 1:2|Sondern hat Lust am Gesetz des HERRN und sinnt über seinem Gesetz Tag und Nacht!
Psalm 2:11|Dienet dem HERRN mit Furcht und freuet euch mit Zittern!
Psalm 4:9|Ich liege und schlafe ganz mit Frieden; denn allein du, HERR, hilfst mir, daß ich sicher wohne.
Psalm 5:4|HERR, frühe wollest du meine Stimme hören, frühe will ich mich zu dir wenden und aufmerken.
Psalm 8:2|HERR, unser Herrscher, wie herrlich ist dein Name in allen Landen, der du zeigst deine Hoheit am Himmel!
Psalm 9:11|Darum hoffen auf dich, die deinen Namen kennen; denn du verlässest nicht, die dich, HERR, suchen.
Psalm 16:8|Ich habe den HERRN allezeit vor Augen; steht er mir zur Rechten, so wanke ich nicht.
Psalm 16:11|Du tust mir kund den Weg zum Leben: Vor dir ist Freude die Fülle und Wonne zu deiner Rechten ewiglich.
Psalm 18:3|HERR, mein Fels, meine Burg, mein Erretter; mein Gott, mein Hort, auf den ich traue, mein Schild und Horn meines Heils und mein Schutz!
Psalm 19:2|Die Himmel erzählen die Ehre Gottes, und die Feste verkündigt seiner Hände Werk.
Psalm 19:15|Laß dir wohlgefallen die Rede meines Mundes und das Gespräch meines Herzens vor dir, HERR, mein Fels und mein Erlöser.
Psalm 22:2|Mein Gott, mein Gott, warum hast du mich verlassen?
Psalm 23:1|Der HERR ist mein Hirte, mir wird nichts mangeln.
Psalm 23:4|Und ob ich schon wanderte im finstern Tal, fürchte ich kein Unglück; denn du bist bei mir, dein Stecken und Stab trösten mich.
Psalm 23:6|Gutes und Barmherzigkeit werden mir folgen mein Leben lang, und ich werde bleiben im Hause des HERRN immerdar.
Psalm 24:1|Die Erde ist des HERRN und was darinnen ist, der Erdkreis und die darauf wohnen.
Psalm 25:4|HERR, zeige mir deine Wege und lehre mich deine Steige!
Psalm 27:1|Der HERR ist mein Licht und mein Heil; vor wem sollte ich mich fürchten? Der HERR ist meines Lebens Kraft; vor wem sollte mir grauen?
Psalm 27:14|Harre des HERRN! Sei getrost und unverzagt und harre des HERRN!
Psalm 28:7|Der HERR ist meine Stärke und mein Schild; auf ihn hofft mein Herz, und mir ist geholfen.
Psalm 30:6|Denn sein Zorn währet einen Augenblick, und lebenslang seine Gnade. Den Abend lang währet das Weinen, aber des Morgens ist Freude.
Psalm 31:6|In deine Hände befehle ich meinen Geist; du hast mich erlöst, HERR, du treuer Gott.
Psalm 32:8|Ich will dich unterweisen und dir den Weg zeigen, den du gehen sollst; ich will dich mit meinen Augen leiten.
Psalm 33:12|Wohl dem Volk, dessen Gott der HERR ist, dem Volk, das er zum Erbe erwählt hat!
Psalm 34:2|Ich will den HERRN loben allezeit; sein Lob soll immerdar in meinem Munde sein.
Psalm 34:5|Da ich den HERRN suchte, antwortete er mir und errettete mich aus aller meiner Furcht.
Psalm 34:9|Schmecket und sehet, wie freundlich der HERR ist. Wohl dem, der auf ihn trauet!
Psalm 34:15|Die Augen des HERRN merken auf die Gerechten und seine Ohren auf ihr Schreien.
Psalm 34:19|Der Gerechten sind viel, aber aus alledem hilft ihnen der HERR.
Psalm 36:6|HERR, deine Güte reicht, so weit der Himmel ist, und deine Wahrheit, so weit die Wolken gehen.
Psalm 37:4|Habe deine Lust am HERRN; der wird dir geben, was dein Herz wünschet.
Psalm 37:5|Befiehl dem HERRN deine Wege und hoffe auf ihn, er wird's wohl machen.
Psalm 37:7|Sei stille dem HERRN und warte auf ihn.
Psalm 40:2|Ich harrte des HERRN, und er neigte sich zu mir und hörte mein Schreien.
Psalm 42:2|Wie der Hirsch lechzt nach frischem Wasser, so schreit meine Seele, Gott, zu dir.
Psalm 42:6|Was betrübst du dich, meine Seele, und bist so unruhig in mir? Harre auf Gott; denn ich werde ihm noch danken, daß er meines Angesichts Hilfe und mein Gott ist.
Psalm 46:2|Gott ist unsre Zuversicht und Stärke, eine Hilfe in den großen Nöten, die uns getroffen haben.
Psalm 46:11|Seid stille und erkennet, daß ich Gott bin! Ich will mich erheben unter den Heiden, ich will mich erheben auf Erden.
Psalm 51:12|Schaffe in mir, Gott, ein reines Herz, und gib mir einen neuen, beständigen Geist.
Psalm 51:19|Die Opfer, die Gott gefallen, sind ein geängsteter Geist, ein geängstetes, zerschlagenes Herz wirst du, Gott, nicht verachten.
Psalm 55:23|Wirf dein Anliegen auf den HERRN; der wird dich versorgen und wird den Gerechten in Ewigkeit nicht wanken lassen.
Psalm 56:4|Zu der Zeit, da ich mich fürchte, hoffe ich auf dich.
Psalm 62:2|Er ist mein Fels, meine Hilfe und mein Schutz, daß mich kein Fall stürzen wird, wie groß er auch sei.
Psalm 62:6|Aber auf Gott hofft meine Seele; denn von ihm kommt meine Hoffnung.
Psalm 63:2|Gott, du bist mein Gott, den ich suche. Es dürstet meine Seele nach dir, mein ganzer Mensch verlangt nach dir.
Psalm 68:20|Gelobt sei der Herr täglich. Gott legt uns eine Last auf, aber er hilft uns auch.
Psalm 71:5|Denn du bist meine Zuversicht, Herr, mein Gott, meine Hoffnung von meiner Jugend an.
Psalm 73:26|Wenn mir gleich Leib und Seele verschmachtet, so bist du doch, Gott, allezeit meines Herzens Trost und mein Teil.
Psalm 84:12|HERR Zebaoth, wohl dem Menschen, der sich auf dich verläßt!
Psalm 90:1|Herr, du bist unsre Zuflucht für und für.
Psalm 90:2|Ehe denn die Berge wurden und die Erde und die Welt geschaffen wurden, bist du, Gott, von Ewigkeit zu Ewigkeit.
Psalm 90:12|Lehre uns bedenken, daß wir sterben müssen, auf daß wir klug werden.
Psalm 91:1|Wer unter dem Schirm des Höchsten sitzt und unter dem Schatten des Allmächtigen bleibt.
Psalm 91:2|Der spricht zu dem HERRN: Meine Zuversicht und meine Burg, mein Gott, auf den ich hoffe.
Psalm 91:11|Denn er hat seinen Engeln befohlen, daß sie dich behüten auf allen deinen Wegen.
Psalm 92:2|Das ist ein köstlich Ding, dem HERRN danken und lobsingen deinem Namen, du Höchster.
Psalm 95:6|Kommt, laßt uns anbeten und knien und niederfallen vor dem HERRN, der uns gemacht hat.
Psalm 96:1|Singet dem HERRN ein neues Lied; singet dem HERRN, alle Welt!
Psalm 100:3|Erkennet, daß der HERR Gott ist! Er hat uns gemacht und nicht wir selbst zu seinem Volk und zu Schafen seiner Weide.
Psalm 100:4|Gehet zu seinen Toren ein mit Danken, zu seinen Vorhöfen mit Loben; danket ihm, lobet seinen Namen!
Psalm 103:2|Lobe den HERRN, meine Seele, und vergiß nicht, was er dir Gutes getan hat.
Psalm 103:8|Barmherzig und gnädig ist der HERR, geduldig und von großer Güte.
Psalm 103:12|So fern der Morgen ist vom Abend, läßt er unsre Übertretungen von uns sein.
Psalm 103:13|Wie sich ein Vater über Kinder erbarmt, so erbarmt sich der HERR über die, die ihn fürchten.
Psalm 107:1|Danket dem HERRN; denn er ist freundlich, und seine Güte währet ewiglich.
Psalm 111:10|Die Furcht des HERRN ist der Weisheit Anfang. Klug sind alle, die danach tun. Sein Lob bleibet ewiglich.
Psalm 118:6|Der HERR ist mit mir, darum fürchte ich mich nicht. Was können mir Menschen tun?
Psalm 118:24|Dies ist der Tag, den der HERR macht; laßt uns freuen und fröhlich an ihm sein.
Psalm 119:9|Wie wird ein junger Mann seinen Weg unsträflich gehen? Wenn er sich hält nach deinen Worten.
Psalm 119:11|Ich behalte dein Wort in meinem Herzen, auf daß ich nicht wider dich sündige.
Psalm 119:105|Dein Wort ist meines Fußes Leuchte und ein Licht auf meinem Wege.
Psalm 119:114|Du bist mein Schirm und Schild; ich hoffe auf dein Wort.
Psalm 121:1|Ich hebe meine Augen auf zu den Bergen. Woher kommt mir Hilfe?
Psalm 121:2|Meine Hilfe kommt vom HERRN, der Himmel und Erde gemacht hat.
Psalm 121:7|Der HERR behüte dich vor allem Übel, er behüte deine Seele.
Psalm 121:8|Der HERR behüte deinen Ausgang und Eingang von nun an bis in Ewigkeit!
Psalm 127:1|Wenn der HERR nicht das Haus baut, so arbeiten umsonst, die daran bauen.
Psalm 130:5|Ich harre des HERRN, meine Seele harret, und ich hoffe auf sein Wort.
Psalm 133:1|Siehe, wie fein und lieblich ist's, daß Brüder einträchtig beieinander wohnen!
Psalm 136:1|Danket dem HERRN; denn er ist freundlich, denn seine Güte währet ewiglich.
Psalm 139:1|HERR, du erforschest mich und kennest mich.
Psalm 139:7|Wohin soll ich gehen vor deinem Geist, und wohin soll ich fliehen vor deinem Angesicht?
Psalm 139:14|Ich danke dir dafür, daß ich wunderbar gemacht bin; wunderbar sind deine Werke; das erkennt meine Seele.
Psalm 139:23|Erforsche mich, Gott, und erkenne mein Herz; prüfe mich und erkenne, wie ich's meine.
Psalm 143:10|Lehre mich tun nach deinem Wohlgefallen, denn du bist mein Gott. Dein guter Geist führe mich auf ebener Bahn.
Psalm 145:18|Der HERR ist nahe allen, die ihn anrufen, allen, die ihn mit Ernst anrufen.
Psalm 147:3|Er heilt, die zerbrochenen Herzens sind, und verbindet ihre Wunden.
Psalm 150:6|Alles, was Odem hat, lobe den HERRN! Halleluja!
Sprüche 1:7|Die Furcht des HERRN ist der Anfang der Erkenntnis. Die Toren verachten Weisheit und Zucht.
Sprüche 2:6|Denn der HERR gibt Weisheit, und aus seinem Munde kommt Erkenntnis und Einsicht.
Sprüche 3:5|Vertraue auf den HERRN von ganzem Herzen, und verlaß dich nicht auf deinen Verstand.
Sprüche 3:6|Gedenke an ihn in allen deinen Wegen, so wird er dich recht führen.
Sprüche 3:7|Dünke dich nicht, weise zu sein, sondern fürchte den HERRN und weiche vom Bösen.
Sprüche 4:23|Behüte dein Herz mit allem Fleiß, denn daraus geht das Leben.
Sprüche 9:10|Der Weisheit Anfang ist die Furcht des HERRN, und den Heiligen erkennen, das ist Verstand.
Sprüche 10:12|Haß erregt Hader; aber Liebe deckt alle Übertretungen zu.
Sprüche 11:25|Wer reichlich gibt, wird gelabt, und wer reichlich tränkt, der wird auch getränkt.
Sprüche 12:25|Sorge im Herzen kränkt, aber ein freundliches Wort erfreut.
Sprüche 13:20|Wer mit den Weisen umgeht, der wird weise; wer aber der Narren Geselle ist, der wird Unglück haben.
Sprüche 14:12|Manchem scheint ein Weg recht; aber zuletzt bringt er ihn zum Tode.
Sprüche 15:1|Eine linde Antwort stillt den Zorn; aber ein hartes Wort erregt Grimm.
Sprüche 15:3|Die Augen des HERRN sind an allen Orten, sie schauen auf die Bösen und auf die Guten.
Sprüche 16:3|Befiehl dem HERRN deine Werke, so wird dein Vorhaben gelingen.
Sprüche 16:9|Des Menschen Herz erdenkt sich seinen Weg; aber der HERR allein lenkt seinen Schritt.
Sprüche 16:18|Wer zugrunde gehen soll, der wird zuvor stolz; und Hochmut kommt vor dem Fall.
Sprüche 17:17|Ein Freund liebt allezeit, und ein Bruder wird in der Not erfunden.
Sprüche 18:10|Der Name des HERRN ist eine feste Burg; der Gerechte läuft dahin und wird beschirmt.
Sprüche 18:24|Wer viele Gefährten hat, die schaden ihm; aber es gibt Freunde, die fester halten als Brüder.
Sprüche 19:21|Es sind viele Pläne in eines Menschen Herzen; aber zustande kommt der Ratschluß des HERRN.
Sprüche 20:24|Eines Mannes Schritte kommen vom HERRN. Welcher Mensch versteht seinen Weg?
Sprüche 21:1|Des Königs Herz ist in der Hand des HERRN wie Wasserbäche, und er neiget es, wohin er will.
Sprüche 22:6|Gewöhne einen Knaben an seinen Weg, so läßt er auch nicht davon, wenn er alt wird.
Sprüche 27:1|Rühme dich nicht des morgenden Tages; denn du weißt nicht, was der Tag bringt.
Sprüche 27:17|Ein Messer wetzt das andere, und ein Mann den andern.
